Actual,Predicted RF,Predicted GPR,Predicted KNN
21850.6,12086.6157,24561.28212,17288.09795
1737.4,12254.68003,25012.18147,24554.70949
50284.63333,43290.73986,25589.83501,41595.47436
9151,13168.25654,24985.46335,21892.92359
11110.15,15781.18152,16804.12139,14491.39744
83502.9,67967.84015,35265.78591,49105.46026
63986.86667,60043.48539,29797.39291,52337.87385
10208.1,6686.894065,20047.74129,7563.362821
51563.95,47612.81413,35161.72047,56650.14103
31077.7,23992.48552,26258.41614,22698.45385
17818.2,25558.15735,31825.37969,20616.6359
8123.5,8200.757737,18189.6931,9373.289744
23167,13808.19447,33616.05669,23340.11667
16654.25,15360.22701,20823.98855,15940.04359
3657.433333,13567.40968,22604.38109,16830.75256
28309.4,39288.35744,23447.84881,30721.07949
5443.966667,12772.80817,15864.07076,10574.85385
3108.4,9669.460726,23143.49185,11912.56795
15772.45,15935.29499,21690.54535,16164.83205
32174.85,26388.58974,25540.07974,27553.83385
75180,51059.63734,28269.88159,39111.64615
56092,45920.07946,32399.71949,46309.91667
35183.1,46548.19724,24049.63373,26245.0782
4217.066667,15322.7059,25535.18303,21071.43
48974.25,46251.79158,24519.29295,44958.00769
55359.66667,58723.29972,36907.58458,59230.64872
17133.9,23238.29552,19962.3356,21186.66154
9748.75,19020.07473,18676.38785,17620.66846
33678.75,20114.8746,21078.3876,22943.19487
40878.4,34287.47811,23570.63753,37294.28974
37905.8,19338.00418,28377.90443,35300.12821
3307.05,2879.353098,14947.04272,4791.960256
598.1,9222.662453,19930.35159,12655.47692
24793.89,50599.60617,38716.87269,61226.8359
5093.35,9417.907598,14723.26033,6429.930769
3012.8,13756.6085,20330.04416,11271.61282
89408.3,69912.68484,35893.97561,48832.1718
18050.9,14852.10754,24641.44604,13771.8359
69409.6,74446.73455,38667.95663,58011.59744
27465.23333,23221.59378,26677.85065,27487.70513
63871.15,55870.6563,36017.95345,53689.49231
3232.65,9340.363279,19902.18582,7652.735898
25104,21280.09983,22712.02829,17081.26667
18498.7,14188.76213,23856.44117,17633.21205
30319.9,41762.57446,23968.76454,40420.67692
7411.9,6221.837727,18202.70152,7171.383333
37245.2,31123.7435,31446.56013,42315.97949
2924.45,5922.622688,12795.1824,8311.979487
6672.2,10377.08231,16195.56513,10939.85897
45793.06667,33887.90015,36282.39714,26042.43461
35474.2,34348.598,27339.95062,27288.09026
26925.56667,38600.30564,37234.50896,48777.41282
30833.6,21595.37877,27332.86954,17448.9
17169.45,25042.36662,24199.16259,20638.52949
47163.85,40740.73125,30810.7764,38146.9218
16899.05,26378.62491,28640.39157,25919.50385
10024.76667,9517.25169,15526.84571,11197.11667
61271.5,58119.61211,30065.65637,50524.66538
4086.6,9927.87487,17627.42814,8283.897436
17274.35,14258.11587,17614.44042,12240.61154
29636.15,25777.94453,30822.0106,36966.9218
36208.55,40118.77586,24225.03372,39499.29231
14280.6,20218.47958,29637.47532,29887.77179
8313.7,4552.510975,15238.97415,9894.631282
4369.6,9619.413324,20153.623,7757.651282
93005.15,53007.27728,40168.54236,39997.67051
